timestamp,price
2025-06-09 00:00:00,105692.24740699006
2025-06-10 00:00:00,110261.57485948496
2025-06-11 00:00:00,110212.73252109604
2025-06-12 00:00:00,108679.9760916168
2025-06-13 00:00:00,105979.22902375912
2025-06-14 00:00:00,106045.56440819203
2025-06-15 00:00:00,105482.90611628917
2025-06-16 00:00:00,105554.49383061715
2025-06-17 00:00:00,106951.2720181497
2025-06-18 00:00:00,104683.42479835715
2025-06-19 00:00:00,104722.695052907
2025-06-20 00:00:00,104690.65002458123
2025-06-21 00:00:00,103290.105144757
2025-06-22 00:00:00,101532.5683847329
2025-06-22 00:52:09,102957.54792915989
